기준_년분기_코드,상권_코드,당월_매출_금액,연령대_20_매출_금액
20224,3110201,275287183,24920088
20224,3110202,150750060,6520185
20224,3110203,696123851,92664041
20224,3110205,6127744690,2626315288
20224,3110206,1692792223,239845083
20224,3110207,1269909975,468904404
20224,3110208,110019224,0
20224,3110210,3794094716,1334788421
20224,3110211,2919266308,352345526
20224,3110213,183348144,11028593
20224,3110214,2675771791,1213300142
20224,3110215,731339959,333266048
20224,3110216,3581675442,239995669
20224,3110219,9603524724,1492599546
20224,3110220,11092903436,3727072541
20224,3110222,33000000,4692826
20224,3110224,1720162867,139553105
20224,3120063,38849926367,5458820426
20224,3120064,25454240136,9084835265
20224,3120065,11700539299,4144684746
20224,3130098,2326289107,922984750
20224,3130099,2106973514,182367137
20224,3130102,51625347,0
20224,3130103,481186777,24486753
20231,3110200,195858881,10849780
20231,3110201,265971382,24707018
20231,3110202,163535288,9008006
20231,3110203,665065667,72532113
20231,3110205,5164451093,1999416520
20231,3110206,1404094314,164772354
20231,3110207,1040190019,388452687
20231,3110208,79462371,0
20231,3110210,3229584065,1035827776
20231,3110211,2812635195,319962453
20231,3110213,211079280,11227235
20231,3110214,2035365835,879422514
20231,3110215,586214149,245669499
20231,3110216,3317863723,162554816
20231,3110219,9664922620,1211728888
20231,3110220,10763598848,3149229232
20231,3110222,33000000,2486510
20231,3110224,2620280346,139832060
20231,3120063,47522051620,5009282451
20231,3120064,23328819935,7522276946
20231,3120065,10647796102,3332740214
20231,3130098,2642580073,915859379
20231,3130099,2824457619,206764996
20231,3130102,10470914,0
20231,3130103,348888897,19975047
20232,3110200,161064559,14988993
20232,3110201,309189118,23690536
20232,3110202,117268010,5461747
20232,3110203,859302392,122073606
20232,3110205,5879246308,2052063888
20232,3110206,1545983956,199119456
20232,3110207,1288414359,477048476
20232,3110208,78636597,0
20232,3110210,4072222621,1378824587
20232,3110211,2942608533,307122941
20232,3110213,221932709,9719996
20232,3110214,2887995886,1284601525
20232,3110215,775856963,294134421
20232,3110216,3257974913,165233463
20232,3110219,9531470352,1400297135
20232,3110220,12026722294,3937304406
20232,3110222,33000000,2825781
20232,3110224,2380485918,166423114
20232,3120063,40147440070,5692613250
20232,3120064,25752983403,8499894179
20232,3120065,11215859002,3583840790
20232,3130098,2632749670,904300019
20232,3130099,2183672405,190958327
20232,3130102,196234182,11496172
20232,3130103,450639277,20634744
20233,3110200,145642157,13577041
20233,3110201,306630819,27784436
20233,3110202,156487471,6498223
20233,3110203,827336320,129242427
20233,3110205,5194289656,1761216034
20233,3110206,1490138127,178094999
20233,3110207,943269158,349364167
20233,3110208,105711504,494634
20233,3110210,3237547244,980025911
20233,3110211,3193974893,293405830
20233,3110213,172373185,10671172
20233,3110214,2197075139,990996504
20233,3110215,702853364,269648217
20233,3110216,3247043404,162954564
20233,3110219,9367779840,1388209631
20233,3110220,10492272980,3187001941
20233,3110222,33000000,2123043
20233,3110224,2338438611,159500475
20233,3120063,36067264743,4492003061
20233,3120064,22513788436,6777086636
20233,3120065,10978450354,3414796940
20233,3130098,2346870920,810974303
20233,3130099,2308759067,228891857
20233,3130102,211197039,16806163
20233,3130103,487905313,18486844
20234,3110200,186699260,17794311
20234,3110201,299614784,26703931
20234,3110202,144280452,8291904
20234,3110203,831148932,146390228
20234,3110205,5337678140,1873677051
20234,3110206,1505632067,161328607
20234,3110207,1010630055,350537809
20234,3110208,64778761,0
20234,3110210,3672243502,1188954087
20234,3110211,3570138784,640940509
20234,3110213,59141499,9000607
20234,3110214,2767119220,1214257135
20234,3110215,673778116,272088211
20234,3110216,3366139735,184776889
20234,3110219,9303103889,1260498017
20234,3110220,12177960129,3803685879
20234,3110222,33000000,2392590
20234,3110224,2467252502,232293903
20234,3120063,49828051517,5634890272
20234,3120064,24380001153,7730812968
20234,3120065,10620026568,3505123533
20234,3130098,2479438249,855373235
20234,3130099,3727810168,258428121
20234,3130102,171977531,14725513
20234,3130103,378886346,20953732
20241,3110200,251808937,12370999
20241,3110201,250806167,11220703
20241,3110202,149401878,4168579
20241,3110203,810521252,127414327
20241,3110205,4617068562,1565593692
20241,3110206,2349745980,145761529
20241,3110207,868080826,289979161
20241,3110208,79790474,0
20241,3110210,3059697587,890555409
20241,3110211,3033885446,474041358
20241,3110213,70622669,10625057
20241,3110214,2038597083,835373164
20241,3110215,541520424,176995618
20241,3110216,3165796226,133459632
20241,3110219,8987674311,967147903
20241,3110220,10169601661,2843150371
20241,3110222,33000000,1625696
20241,3110224,2648768918,176826030
20241,3120063,50031527421,4741002923
20241,3120064,21102366626,6307998191
20241,3120065,9542544598,2886847755
20241,3130098,2644822770,835946649
20241,3130099,3851761243,219503174
20241,3130102,135156206,8901109
20241,3130103,353972434,9101549
20242,3110200,262462480,11402752
20242,3110201,261874096,21595298
20242,3110202,197127461,4952220
20242,3110203,864849258,128487642
20242,3110205,5419427344,1816380432
20242,3110206,1895713328,144803466
20242,3110207,914179443,316338058
20242,3110208,66283186,0
20242,3110210,4006656271,1327503843
20242,3110211,2965245787,284893356
20242,3110213,92760966,18728106
20242,3110214,2532298925,1112753689
20242,3110215,523150242,159905064
20242,3110216,3569007936,147552985
20242,3110219,10028861990,1169198547
20242,3110220,12160926436,3860524557
20242,3110222,33000000,1641146
20242,3110224,2861417573,183634595
20242,3120063,50870731364,4831849897
20242,3120064,22828616131,7287777499
20242,3120065,10264827819,3071343748
20242,3130098,2689330607,790810118
20242,3130099,3348584901,226013662
20242,3130102,178526618,19829723
20242,3130103,417241860,13944130
20243,3110200,207318884,14896762
20243,3110201,226104995,16319282
20243,3110202,142216251,2794864
20243,3110203,870057536,157346896
20243,3110205,4551404682,1518846762
20243,3110206,1613782458,167246648
